Total Counts,Casual User Count,Member User Count,Classic Bike Count,Electric Bike Count,bus,rail_boardings,total_rides,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
74799,11595,63204,0,0,4752164,4306463,9058627,112.0,77.7,154.6,43.2,0.0,266.0,93.1,0.0,7107.1,0.0
106424,31152,75272,0,0,4824282,4544025,9368307,151.4,110.6,193.9,33.6,0.0,768.0,63.9,0.0,6084.8,0.0
111821,30076,81745,0,0,4505402,4065373,8570775,161.1,126.1,204.6,24.6,0.0,762.0,105.9,0.0,7065.099999999999,0.0
102717,20854,81863,0,0,4864582,4663141,9527723,136.5,101.0,175.6,57.9,0.0,903.0,92.6,0.0,7098.7,0.0
113405,27343,86062,0,0,4768996,4490299,9259295,171.0,135.0,203.9,12.700000000000001,0.0,906.0,94.3,0.0,7093.5,0.0
98680,24585,74095,0,0,4431147,4595446,9026593,152.7,126.7,183.3,87.69999999999999,0.0,402.0,108.5,0.0,7070.3,0.0
109700,25786,83914,0,0,4507256,4484226,8991482,182.1,150.5,216.7,25.900000000000002,0.0,1062.0,110.60000000000001,0.0,7084.7,0.0
123449,42296,81153,0,0,4125977,3862761,7988738,176.5,141.0,212.2,23.400000000000002,0.0,850.0,89.9,0.0,7155.2,0.0
119926,29684,90242,0,0,4640932,4595781,9236713,187.7,155.0,217.39999999999998,4.8,0.0,1135.0,87.4,0.0,7124.5,0.0
115003,27081,87922,0,0,4566275,4570266,9136541,168.0,142.9,197.3,37.4,0.0,1088.0,113.6,0.0,7079.7,0.0
137421,39023,98398,0,0,4618498,4621262,9239760,165.5,129.9,196.8,0.0,0.0,1585.0,82.7,0.0,7106.3,0.0
129352,35341,94011,0,0,4588542,4847816,9436358,178.4,140.5,216.7,1.1,0.0,787.0,94.7,0.0,7107.7,0.0
124663,33386,91277,0,0,4460078,4458784,8918862,177.3,147.3,211.6,8.399999999999999,0.0,622.0,74.9,0.0,7098.8,0.0
124794,32783,92011,0,0,4434730,4377433,8812163,178.0,147.8,211.1,9.1,0.0,528.0,68.5,0.0,7098.3,0.0
111419,23167,88252,0,0,4405640,4318761,8724401,163.3,132.9,197.8,17.0,0.0,1592.0,107.4,0.0,7098.3,0.0
103023,24436,78587,0,0,4656257,4564089,9220346,175.8,145.1,211.7,68.9,0.0,1413.0,121.0,0.0,7108.5,0.0
86010,17248,68762,0,0,4532470,4207845,8740315,158.8,138.9,183.3,38.1,0.0,741.0,139.3,0.0,7141.5,0.0
122342,27011,95331,0,0,5137611,4983169,10120780,146.3,110.5,193.3,0.0,0.0,319.0,70.6,0.0,7135.8,0.0
111754,21965,89789,0,0,5069701,4793265,9862966,154.0,120.0,188.8,0.0,0.0,729.0,100.5,0.0,7110.8,0.0
92762,15095,77667,0,0,5083056,4985245,10068301,112.6,77.2,144.0,16.7,0.0,1217.0,90.2,0.0,7129.0,0.0
87341,12906,74435,0,0,5130291,5065971,10196262,123.8,96.7,162.2,78.2,0.0,1142.0,113.4,0.0,7117.6,0.0
83112,13529,69583,0,0,4955996,4720014,9676010,98.0,63.2,126.1,39.9,0.0,1559.0,115.0,0.0,7098.9,0.0
68726,7362,61364,0,0,5051456,4747976,9799432,50.800000000000004,13.899999999999999,82.2,4.3,0.0,1834.0,129.2,0.0,7158.0,0.0
70512,7618,62894,0,0,5071565,4689988,9761553,60.3,34.9,85.6,5.3999999999999995,0.0,728.0,84.6,0.0,7124.0,0.0
66161,5816,60345,0,0,5015355,4599962,9615317,66.2,40.5,92.9,37.3,0.0,1331.0,105.4,0.0,7098.5,0.0
49314,2854,46460,0,0,4978908,4557181,9536089,20.5,-2.9000000000000004,41.1,11.7,0.0,1463.0,129.3,0.0,7140.3,0.0
39923,1831,38092,0,0,4660127,4505340,9165467,-2.5,-25.5,16.7,9.3,0.0,1404.0,95.2,0.0,7178.9,0.0
26795,2329,24466,0,0,3672323,3271797,6944120,16.7,-3.4,35.5,27.7,25.0,1461.0,126.1,0.0,7122.0,0.0
26085,835,25250,0,0,4692050,4308522,9000572,1.2000000000000002,-17.3,20.6,36.1,229.0,1061.0,110.4,0.0,7078.4,0.0
34018,1334,32684,0,0,4892230,4393670,9285900,-17.1,-37.2,1.2000000000000004,0.5,0.0,2101.0,97.3,0.0,7187.3,0.0
38326,2162,36164,0,0,4850496,4361260,9211756,11.0,-16.6,41.1,11.0,0.0,867.0,87.6,0.0,7138.4,0.0
36220,1955,34265,0,0,4648478,3985767,8634245,15.9,-5.0,39.9,2.8,0.0,1755.0,106.3,0.0,7100.9,0.0
14971,1623,13348,0,0,2922178,2338716,5260894,11.799999999999999,-16.1,44.9,17.8,0.0,1134.0,118.4,0.0,7146.7,0.0
28931,3062,25869,0,0,3399361,3070560,6469921,13.7,-6.699999999999999,39.5,22.1,0.0,1475.0,109.2,0.0,7115.3,0.0
30930,906,30024,0,0,4450944,3994325,8445269,-4.300000000000001,-25.5,13.300000000000002,14.399999999999999,152.0,912.0,135.5,0.0,7161.6,0.0
28005,500,27505,0,0,4526269,4137817,8664086,-21.0,-38.4,-7.2,10.4,532.0,919.0,133.1,0.0,7161.2,0.0
